	Dmawii-to-Dcoriacea	Cinsculpta-to-Dcoriacea	Cmccordi-to-Dcoriacea	Pexpansa-to-Dcoriacea	Amarmorata-to-Dcoriacea	Mtuberculata-to-Dcoriacea	Rswinhoei-to-Dcoriacea	Esubglobosa-to-Dcoriacea
gene-TRIM37	I	I	I	I	I	I	I	I
gene-RAI14	I	I	I	I	I	I	I	I
gene-EFEMP1	I	I	I	I	I	I	I	I
gene-LOC119850983	I	L	I	L	I	L	I	L
gene-GINS4	I	I	I	I	I	I	I	I
gene-CAMK1G	I	I	I	I	I	I	I	I
gene-INTS2	I	I	I	I	I	I	I	I
gene-LOC119860038	I	PI	I	I	I	I	UL	I
gene-LOC119861147	I	I	I	I	I	I	I	I
gene-GCH1	I	I	M	I	I	I	I	I
gene-PCNA	I	I	I	I	I	I	I	I
gene-LOC119854061	I	I	I	I	I	I	I	I
gene-CACNB4	I	I	I	I	I	I	I	I
gene-ABCA6	I	L	I	I	I	I	UL	I
gene-CCNF	I	I	I	I	I	I	I	I
gene-RTF2	I	I	I	I	I	I	I	I
gene-LOC119842480	I	I	UL	I	I	I	I	I
gene-CFAP410	I	UL	I	I	I	PI	I	I
gene-IRF2BP1	I	I	I	I	I	L	I	I
gene-RHOG	I	I	I	I	I	I	I	I
gene-LOC119860006	I	I	I	I	I	I	I	UL
gene-NID1	I	I	PI	I	PI	I	UL	I
gene-SOD3	I	I	I	I	I	I	I	I
gene-RNF34	I	I	I	I	I	I	I	I
gene-PAX7	I	I	I	I	I	UL	I	I
gene-LOC119859812	L	M	L	L	I	L	L	L
gene-LOC119842975	L	UL	L	L	UL	I	I	L
gene-MORN5	I	I	I	I	I	I	I	I
gene-DYNLT2	I	I	I	I	I	I	I	I
gene-LOC119842713	I	I	I	I	I	I	I	I
gene-LOC119849379	UL	I	I	I	I	I	I	I
gene-LOC119843872	I	L	I	I	I	I	L	I
gene-MID1	I	I	I	I	I	I	I	I
gene-PALM3	I	PI	I	I	I	I	UL	I
gene-CAMKK1	I	I	I	I	I	I	I	I
gene-SPRYD7	I	I	I	I	I	I	I	I
gene-TMBIM1	PI	I	UL	I	PI	I	I	I
gene-LOC119849214	PI	PM	PI	I	I	I	I	PI
gene-TRAPPC6A	PI	I	PI	I	I	PI	I	I
gene-IL22RA2	I	I	I	I	I	I	I	I
gene-P4HA3	I	I	PI	I	I	I	I	I
gene-LDB3	I	I	I	I	I	I	I	I
gene-C1H12orf57	I	I	I	I	I	I	I	I
gene-CFAP418	PI	I	I	I	I	I	I	I
gene-SLC48A1	I	PI	I	I	I	PI	I	I
gene-DDX39B	I	I	PI	I	PI	I	UL	I
gene-TIMP4	I	M	I	I	I	I	I	UL
gene-PRICKLE2	UL	UL	UL	I	UL	UL	UL	UL
gene-TDP2	I	I	I	I	I	I	I	I
gene-LOC119857549	I	I	I	I	L	I	I	I
gene-PXDN	I	PI	I	I	I	I	I	I
gene-LOC119846694	I	L	I	I	I	I	L	I
gene-AXDND1	I	I	I	I	I	PI	UL	I
gene-LOC119843892	I	I	I	I	I	I	I	I
gene-STMND1	I	I	UL	UL	I	I	L	UL
gene-LOC119846061	L	UL	UL	UL	UL	UL	UL	UL
gene-RFFL	I	I	I	I	I	I	I	I
gene-CLEC3B	I	I	I	I	I	I	I	I
gene-MXI1	I	I	I	I	I	I	UL	I
gene-FAM3C	I	I	I	I	PI	I	I	I
gene-LOC119857837	I	L	I	L	I	I	I	I
gene-KCNS3	I	I	I	I	I	I	I	I
gene-HCLS1	I	I	I	I	I	I	UL	I
gene-LOC119852645	I	UL	UL	UL	UL	UL	UL	UL
gene-GATA5	I	I	I	I	I	I	I	I
gene-PIGT	I	I	I	I	I	I	I	I
gene-FAM117B	I	I	I	I	I	I	I	I
gene-SYN3	I	I	I	I	I	I	I	I
gene-NCAPD2	I	I	I	I	PI	I	UL	I
gene-BTBD9	I	I	I	I	I	I	I	I
gene-LOC119859834	I	PI	I	I	I	I	I	I
gene-PDIA4	I	I	I	I	I	I	I	I
gene-LOC122458715	L	L	L	L	L	L	L	L
gene-LOC119847894	I	I	UL	I	UL	I	I	I
gene-C7H11orf80	PI	I	I	I	I	I	I	I
gene-ZBED1	I	I	I	I	I	I	I	I
gene-BMP2K	I	I	I	PI	I	I	I	I
gene-EBPL	I	I	I	I	I	I	I	I
gene-ATP1A1	I	I	I	I	I	I	I	I
gene-HTR1F	I	I	I	I	I	I	I	I
gene-TMEM200C	UL	I	I	I	I	I	L	I
gene-PLEKHA8	I	I	I	I	I	I	I	I
gene-GDF6	I	I	I	M	I	I	L	I
gene-IFNG	I	I	I	I	I	I	I	I
gene-LOC119841627	I	M	I	I	I	I	I	I
gene-MAP3K6	I	I	I	I	I	I	UL	I
gene-CORO1C	I	I	I	I	I	I	I	I
gene-LOC119842948	I	UL	I	I	I	I	I	I
gene-PRKCSH	I	I	PI	I	I	I	I	I
gene-TUBB4A	I	I	I	I	I	I	UL	I
gene-TINAGL1	I	I	I	I	I	I	UL	I
gene-MAG	I	I	PI	I	I	I	UL	I
gene-ABCC5	I	I	I	I	I	I	I	I
gene-LOC122458231	L	PG	L	UL	PI	M	UL	L
gene-MFSD6	I	I	I	I	I	I	I	I
gene-DDX46	I	I	I	I	I	I	I	I
gene-RBM10	PI	I	PM	I	I	I	UL	PI
gene-PIH1D1	I	PI	I	I	I	I	I	I
gene-ANKS3	I	I	I	I	I	I	I	I
gene-LOC119859190	I	I	I	I	I	I	I	I
gene-RBMX	I	I	I	I	I	I	I	I
gene-LOC119855220	I	I	PM	I	I	I	I	I
gene-LOC119853188	I	UL	I	UL	I	UL	I	I
gene-SF3B2	I	I	I	I	I	I	UL	I
gene-LOC119842411	UL	I	UL	I	UL	UL	UL	I
gene-ACTL6B	PM	PM	PM	UL	UL	L	I	UL
gene-LOC119850715	UL	PM	L	I	UL	UL	UL	UL
gene-MTA3	I	I	I	I	I	I	I	I
gene-RBP5	I	I	I	I	I	PI	I	I
gene-LOC119856536	I	I	I	I	I	I	I	I
gene-SLC2A2	I	I	I	I	I	I	I	I
gene-EIF3F	I	I	I	I	I	I	I	I
gene-ARHGEF7	I	I	I	I	I	I	I	I
gene-RSPO2	I	I	I	I	PI	I	I	I
gene-ATP8B2	UL	I	PI	I	I	I	UL	I
gene-NKAIN3	I	I	I	I	I	I	I	I
gene-STARD9	I	I	UL	I	PI	I	I	I
gene-MCRS1	I	I	UL	I	I	I	I	I
gene-LOC119844411	I	I	I	I	I	I	I	I
gene-SNAPC4	I	I	I	I	I	I	I	I
gene-HOXA7	I	I	I	I	I	I	I	I
gene-INTS5	I	I	I	I	I	UL	I	I
gene-FAM102A	I	I	I	I	I	I	I	I
gene-LOC119846267	I	I	I	I	I	L	I	L
gene-TMEM266	I	I	I	I	I	I	I	I
gene-NUP153	I	I	I	I	I	I	UL	I
gene-CCDC172	I	I	I	I	PI	I	I	I
gene-PIM1	I	I	I	I	I	I	I	I
gene-CACNA1F	UL	PM	UL	I	UL	UL	UL	PI
gene-LOC119854496	L	L	L	L	L	L	L	L
gene-PIK3R2	I	I	I	I	I	I	UL	I
gene-SBK1	I	I	I	I	I	I	I	I
gene-EPHA8	I	I	PI	I	I	I	I	I
gene-SMIM14	I	I	I	I	I	I	I	I
gene-RPS6KA2	I	I	I	I	I	I	UL	I
gene-SLC41A2	I	I	PI	I	PI	I	I	I
gene-LOC119862824	I	I	I	I	I	I	I	I
gene-SERPINC1	I	I	I	I	I	I	I	I
gene-LOC119860108	I	I	I	I	I	I	I	I
gene-ACAA1	PI	I	PI	I	I	I	I	I
gene-SNTG1	I	PI	I	I	I	I	I	I
gene-RHOBTB2	I	I	I	I	PI	I	UL	I
gene-COL4A6	I	I	I	I	I	I	UL	I
gene-FBXO46	I	I	I	I	L	I	L	I
gene-TG	UL	I	I	I	UL	I	UL	I
gene-ANKRD12	I	I	I	I	I	I	UL	I
gene-TM9SF3	I	I	I	I	I	I	I	I
gene-LOC119862640	I	I	I	I	I	I	I	I
gene-LOC119848860	I	I	I	I	I	I	L	I
gene-ENTPD4	PI	I	PI	I	I	I	I	I
gene-EXOC4	I	I	I	I	I	I	I	I
gene-LOC119845041	UL	PI	UL	L	PI	PI	PI	PI
gene-NCAPG2	I	I	I	UL	I	I	UL	I
gene-C8H5orf58	I	I	I	I	I	UL	I	UL
gene-LOC119857693	I	I	PI	PI	UL	PI	I	I
gene-LOC119847021	L	UL	PI	PI	PI	UL	I	I
gene-FAM102B	I	I	I	I	I	I	I	I
gene-NTHL1	I	I	I	I	PI	I	I	I
gene-NEMP1	I	I	I	I	I	I	I	I
gene-FAM177B	I	I	I	I	I	I	I	I
gene-PDE4A	PI	PI	PI	I	L	PI	I	PI
gene-MAP7D1	I	I	PI	I	I	PI	UL	UL
gene-TTPAL	I	I	I	I	I	I	I	I
gene-LOC119841998	I	I	I	I	I	I	I	I
gene-RELN	I	UL	I	PI	I	I	I	I
gene-ITK	I	I	I	I	I	I	I	I
gene-PIP4P1	I	PI	I	I	I	I	I	I
gene-SMG7	I	I	I	I	I	I	I	I
gene-LOC119862413	I	I	I	I	I	I	I	I
gene-LOC119849788	I	I	I	M	I	M	I	M
gene-CDC37L1	I	I	I	I	I	I	UL	I
gene-NR0B1	I	I	I	I	I	I	I	I
gene-TMEM52	I	I	I	I	I	I	I	I
gene-CACNB1	I	I	I	I	I	PI	I	I
gene-SLC38A10	I	I	I	I	I	I	I	I
gene-LIAS	I	PI	I	I	I	I	I	I
gene-TAL1	I	I	PI	I	I	I	I	I
gene-LOC119861748	I	I	I	I	I	I	I	UL
gene-SPTBN2	I	I	I	I	I	I	UL	I
gene-LOC119856548	I	I	I	I	I	UL	UL	L
gene-ABHD17B	I	I	I	I	I	I	I	I
gene-DDR2	I	I	I	I	I	I	UL	I
gene-DNMT1	PI	I	I	I	I	I	UL	I
gene-MET	I	I	I	I	PI	I	I	I
gene-LOC119850119	I	I	I	I	I	I	UL	I
gene-LYSMD1	I	I	I	I	I	I	I	I
gene-DENND5A	I	I	I	I	I	I	I	I
gene-LOC119842321	I	I	I	I	M	M	I	I
gene-LOC119846573	M	L	L	L	UL	M	L	L
gene-SEC61G	I	I	I	I	I	I	I	I
gene-LOC122456458	M	PI	I	UL	I	I	PI	L
gene-LOC119857399	I	I	I	I	I	I	I	I
gene-TCIM	I	I	I	I	I	I	I	I
gene-MED28	I	I	I	I	I	I	I	I
gene-MB21D2	I	UL	UL	UL	UL	PI	UL	UL
gene-PFDN5	I	UL	PI	I	I	I	I	I
gene-TAF11	I	I	I	I	I	PI	UL	I
gene-LRRC29	I	I	I	I	I	I	UL	I
gene-LOC119844999	I	I	I	I	I	I	I	I
gene-YARS2	UL	UL	UL	I	UL	UL	UL	UL
gene-S100A13	I	I	I	I	I	I	I	I
gene-UMPS	I	I	I	I	I	I	I	I
gene-UBE4A	I	I	I	I	I	I	UL	I
gene-ADCY5	UL	UL	UL	UL	UL	UL	UL	UL
gene-DDX27	I	I	I	I	I	I	UL	I
gene-NAALADL1	I	I	I	UL	I	I	I	I
gene-LOC119858987	L	L	L	M	L	L	L	L
gene-ATMIN	I	I	I	I	I	I	I	I
gene-AOC3	I	I	I	I	I	I	I	I
gene-CD59	I	I	I	I	I	I	I	I
gene-LOC122458375	UL	UL	L	L	I	UL	UL	UL
gene-FBXL5	I	I	I	I	I	I	I	I
gene-LOC119861307	I	I	I	I	I	I	I	I
gene-LOC119863649	L	UL	PM	UL	I	PI	UL	PI
gene-MEGF8	L	UL	L	UL	PM	PI	UL	UL
gene-ANXA9	L	I	I	UL	I	L	L	L
gene-ACOX2	I	I	I	I	I	I	UL	I
gene-SRSF10	I	I	I	I	I	I	I	I
gene-LOC119857319	I	I	I	I	PI	I	I	I
gene-ELMO1	I	I	I	I	I	I	I	I
gene-MCFD2	I	I	I	I	I	I	I	I
gene-TM4SF4	I	I	I	I	I	I	I	I
gene-CCN2	UL	UL	UL	I	UL	UL	UL	I
gene-LOC119851579	UL	I	I	I	I	I	I	I
gene-LOC119858827	I	UL	I	I	I	I	I	I
gene-PLRG1	I	I	I	I	PI	I	I	I
gene-SLC12A9	I	I	PI	I	I	I	I	I
gene-NKAPD1	I	I	I	I	I	I	UL	I
gene-PHF1	I	I	PI	I	M	I	I	UL
gene-CDKL5	I	I	I	I	PI	I	I	I
gene-LOC119843018	UL	PG	I	I	I	I	I	I
gene-LOC119859031	I	I	I	I	I	UL	I	PI
gene-ST8SIA2	I	I	I	UL	I	I	UL	I
gene-LOC119842500	I	M	I	L	I	I	I	I
gene-CLEC19A	I	I	I	I	I	I	I	I
gene-MFAP4	I	I	PM	I	I	I	I	I
gene-CALM3	I	I	I	I	I	I	UL	I
gene-LOC119851087	I	I	I	I	I	I	I	I
gene-SYCN	M	UL	I	I	I	I	I	I
gene-C1QL4	I	I	I	I	I	I	I	I
gene-KLC3	I	I	PI	PI	M	PI	I	I
gene-S100A6	I	I	I	I	I	I	I	I
gene-LOC119860974	I	I	I	I	I	I	I	I
gene-NR3C1	I	I	I	I	I	I	I	I
gene-SOX9	I	I	I	I	I	I	I	I
gene-C3H6orf118	I	I	I	I	I	I	I	I
gene-FKBP6	PI	I	PI	I	I	I	I	UL
gene-IL5RA	I	I	I	I	I	I	I	I
gene-WDR54	I	PI	PI	I	PI	PI	I	PI
gene-LOC119858988	I	PM	PI	PG	UL	UL	L	UL
gene-PCF11	I	I	PI	I	I	I	UL	I
gene-PKD2L2	I	PI	I	I	I	M	I	I
gene-HEY2	I	I	I	I	I	I	I	I
gene-HGH1	I	I	I	I	UL	I	I	I
gene-LARGE1	I	I	I	I	I	I	UL	I
gene-PIGG	I	I	I	I	I	I	I	I
gene-POGLUT3	L	I	I	I	I	I	UL	I
gene-TMEM161A	I	I	I	I	I	I	I	I
gene-SSBP4	I	I	PI	I	I	I	I	PI
gene-PDE2A	I	I	PI	I	UL	I	I	I
gene-LOC119842814	I	L	UL	M	I	M	L	M
gene-LOC119849107	I	I	I	I	I	I	I	I
gene-ZNRF1	I	I	I	I	I	I	L	I
gene-ANKRA2	I	I	I	I	I	I	I	I
gene-LOC119849628	I	L	L	M	L	M	I	L
gene-PAXX	I	I	PI	I	I	I	I	I
gene-POMK	I	I	I	I	PI	I	I	I
gene-PLEK2	I	UL	I	UL	I	UL	UL	UL
gene-RMDN2	I	I	I	I	I	I	I	I
gene-AP1AR	I	I	I	I	I	I	UL	I
gene-HTR3A	I	I	I	I	I	I	I	I
gene-GATB	I	I	I	I	I	I	I	I
gene-LOC119852328	I	I	I	I	M	I	I	I
gene-LOC122456606	UL	L	L	I	I	L	L	L
gene-ACMSD	I	I	I	I	I	I	I	I
gene-PAQR3	I	I	I	I	I	I	I	I
gene-MAN1A1	I	I	I	I	PI	I	UL	I
gene-GABBR2	PI	I	I	I	I	I	I	I
gene-GPS1	I	I	I	I	I	I	I	I
gene-SUSD6	I	I	I	I	I	I	UL	I
gene-LOC119859060	I	I	I	I	I	I	I	I
gene-ADRM1	I	I	I	I	I	I	I	I
gene-LOC119861427	I	I	I	I	I	I	I	I
gene-CAMKMT	I	I	PI	I	I	I	I	I
gene-CNTN5	I	I	I	I	PI	I	I	I
gene-ENO4	I	I	I	I	I	I	UL	I
gene-ARHGAP19	I	I	I	I	I	I	I	I
gene-FSCN1	I	I	I	I	I	I	I	I
gene-GNA13	I	I	I	I	I	I	I	I
gene-CNTN2	I	I	I	I	I	I	I	I
gene-LOC119846568	L	L	L	L	I	L	L	L
gene-LOC119857249	I	I	UL	I	I	PI	I	I
gene-CKM	I	I	I	I	I	I	I	UL
gene-LOC119848723	I	I	I	I	I	I	I	UL
gene-TRA2B	I	I	I	I	I	I	I	I
gene-CCDC78	I	I	PI	I	I	I	I	I
gene-LUM	I	I	I	I	I	I	I	I
gene-FNBP1L	I	I	I	I	I	I	UL	I
gene-FGF16	I	I	I	I	I	I	I	I
gene-TBC1D2	I	I	I	I	I	I	I	I
gene-AMOTL1	I	I	I	I	I	I	I	I
gene-ANKS6	I	I	I	I	UL	I	I	I
gene-LOC122456408	M	UL	UL	L	UL	L	L	L
gene-INSM1	I	I	I	I	I	I	L	I
gene-GPRC5A	I	I	I	I	I	I	I	I
gene-LOC119858099	I	I	I	I	I	I	I	I
gene-LOC119842016	I	M	I	I	I	I	L	UL
gene-P3H1	I	I	I	I	I	I	I	I
gene-NOP10	I	M	I	I	I	I	I	I
gene-TNPO3	I	I	I	I	PI	I	UL	I
gene-TMEM74	I	I	I	I	I	I	I	I
gene-HOXD8	I	I	I	I	I	I	UL	M
gene-TMEM201	I	I	I	I	I	I	I	I
gene-ZNF207	I	I	PI	I	UL	I	I	I
gene-NEMF	I	I	I	I	I	I	I	I
gene-CENPJ	I	I	I	I	I	I	I	I
gene-SERPINB5	I	I	I	I	I	I	I	M
gene-GLI1	I	I	UL	I	PI	UL	I	UL
gene-LOC122458449	I	I	I	I	I	I	UL	I
gene-IRS1	I	I	I	I	I	I	UL	I
gene-LOC119852483	I	L	PI	I	I	I	I	PI
gene-ERICH5	I	UL	UL	UL	PI	I	UL	I
gene-LOC119841976	I	M	I	I	I	I	L	M
gene-NAV1	UL	I	I	PI	UL	I	UL	I
gene-CAMLG	I	I	I	I	I	I	I	I
gene-MEIS1	I	I	I	I	I	I	UL	I
gene-GPR162	I	I	I	I	I	I	I	I
gene-QPCTL	PM	I	I	I	UL	I	UL	I
gene-LTB4R	I	UL	M	I	I	UL	I	I
gene-PDE6H	I	I	I	I	I	I	I	I
gene-PARP1	I	I	I	I	I	I	I	I
gene-SGSM3	I	I	I	I	I	I	I	I
gene-RHBG	I	I	I	I	I	I	I	I
gene-CAPN9	I	I	I	I	I	I	UL	I
gene-SARAF	I	I	I	I	I	PI	I	I
gene-TMEM70	I	I	I	I	I	I	I	I
gene-TXN	I	I	I	I	I	I	I	I
gene-TMEM17	I	UL	UL	UL	UL	UL	UL	UL
gene-LOC119840999	I	I	PI	I	I	I	UL	I
gene-RP9	I	UL	I	UL	PI	UL	I	UL
gene-LOC119843587	UL	L	L	UL	UL	L	I	I
gene-LOC119860084	I	PI	I	I	I	I	I	I
gene-MOCOS	I	I	PI	I	I	PI	I	I
gene-MUC4	I	I	I	I	M	I	I	I
gene-LOC119845148	I	I	I	I	I	I	I	I
gene-ANGPTL7	I	I	I	I	I	PI	I	I
gene-APOOL	I	PI	I	I	I	I	I	I
gene-AGAP3	PI	PI	I	I	I	I	UL	I
gene-LOC119847950	UL	UL	UL	I	UL	UL	PI	UL
gene-LOXL3	PI	PI	I	I	PI	I	I	I
gene-ARR3	I	I	PI	I	UL	I	I	I
gene-TRMT13	I	I	PI	I	I	I	I	I
gene-HINT3	I	I	I	I	I	I	I	I
gene-PTPN2	I	I	I	I	I	I	I	I
gene-CTNNA2	I	I	I	I	I	I	I	I
gene-LOC119861542	I	I	I	UL	I	I	L	I
gene-TENT5C	I	I	I	I	I	I	I	I
gene-DLD	I	I	I	I	I	I	I	I
gene-THG1L	I	I	I	I	I	I	I	I
gene-SMIM11	I	I	I	I	I	I	I	I
gene-SYT8	I	I	I	I	I	I	UL	I
gene-LIG4	I	I	I	I	I	I	I	I
gene-UPF1	I	I	I	I	I	I	I	I
gene-COPG2	I	I	PI	I	I	I	I	I
gene-FAM76B	I	I	I	I	I	I	I	I
gene-GMPR	I	I	I	I	I	I	I	I
gene-KL	I	I	I	I	I	I	I	I
gene-MEAK7	I	I	I	I	I	I	I	I
gene-LOC119845270	I	L	I	L	I	L	L	I
gene-LOC119848027	I	I	I	I	I	I	I	M
gene-FGF7	I	I	I	I	I	I	I	I
gene-LOC119851596	I	I	I	I	I	I	I	I
gene-MRPL4	I	I	I	I	I	I	UL	I
gene-C3H2orf73	UL	PI	UL	I	UL	UL	UL	UL
gene-RUNX2	I	I	I	I	I	I	I	I
gene-SOST	I	I	I	I	I	I	I	I
gene-LOC119841620	L	I	I	L	I	I	L	I
gene-GFRAL	I	I	I	PI	I	I	UL	PI
gene-LOC119858935	I	I	I	I	I	I	I	I
gene-LOC119857894	PG	L	PG	I	I	PI	UL	I
gene-VPS9D1	I	I	I	I	I	I	I	I
gene-LOC119854752	UL	UL	UL	UL	UL	UL	UL	UL
gene-ATF7IP2	I	I	I	I	I	I	I	I
gene-TAF5	I	I	I	I	I	I	UL	I
gene-LOC122458488	L	M	L	L	L	L	L	L
gene-BPGM	I	I	I	I	I	I	I	I
gene-RIPPLY3	UL	UL	UL	M	UL	L	UL	L
gene-UBXN1	I	I	I	I	I	I	I	I
gene-ZMYND10	I	I	I	I	I	I	I	I
gene-EEF2	I	I	I	I	I	I	I	I
gene-PRIMA1	I	I	I	I	I	I	I	I
gene-LOC119846126	I	PI	I	I	I	PI	UL	I
gene-AGBL1	I	I	I	I	I	I	I	I
gene-LOC119859095	I	I	I	I	I	I	I	I
gene-CLDN19	I	M	I	I	I	I	I	I
gene-LRRC8B	I	I	UL	I	I	I	I	I
gene-ITPR2	I	I	I	I	I	I	UL	I
gene-ERC1	I	I	I	I	I	I	I	I
gene-LOC119848441	I	I	I	I	I	I	I	I
gene-LOC119846706	PI	L	I	I	UL	UL	UL	I
gene-LOC119853698	L	M	L	L	L	L	L	L
gene-RELA	I	I	I	I	I	I	UL	I
gene-SSR2	I	I	I	I	I	I	I	I
gene-LOC122457420	L	L	L	L	L	L	L	L
gene-NDUFAF7	I	I	I	I	I	I	I	I
gene-RNF222	I	I	I	I	I	I	I	I
gene-C12H16orf78	I	I	I	UL	I	UL	UL	UL
gene-PTGER2	M	M	M	M	I	I	I	I
gene-LOC122461013	L	UL	UL	UL	UL	UL	UL	UL
gene-LOC119851469	I	I	I	I	I	I	I	I
gene-R3HDM4	I	I	I	I	I	I	I	I
gene-A1CF	UL	UL	UL	UL	UL	UL	UL	UL
gene-PAX1	I	I	I	I	I	I	UL	I
gene-LOC119853409	I	I	I	I	I	I	I	I
gene-WDR88	I	I	I	I	I	I	I	I
gene-SNX8	I	I	I	I	I	I	I	I
gene-ROS1	I	I	I	I	I	I	I	I
gene-DAZL	I	I	I	I	I	I	I	I
gene-S100A16	I	I	I	I	I	I	I	I
gene-DIPK1B	I	I	I	I	I	I	UL	I
gene-BTBD19	PI	I	PI	I	UL	I	UL	PI
gene-LOC119850787	I	L	I	M	I	M	UL	I
gene-DNAH6	I	PI	I	I	I	PI	I	I
gene-HNF1B	I	I	I	I	I	I	I	I
gene-PPP1R15A	I	I	I	I	PM	I	UL	M
gene-TBX1	L	L	UL	UL	UL	L	L	L
gene-LOC119863737	UL	UL	UL	UL	UL	UL	UL	UL
gene-DHX8	I	I	I	I	I	I	UL	I
gene-FGF1	I	I	I	I	PI	I	I	I
gene-AP3B2	I	PI	PI	I	PI	I	I	I
gene-PSD	I	I	I	I	I	I	UL	I
gene-PODNL1	I	I	PI	I	PI	I	I	UL
gene-IQCG	I	I	I	I	I	I	I	I
gene-IL17REL	I	I	I	I	I	I	I	I
gene-CPEB1	I	I	I	I	I	I	I	I
gene-LOC119859517	I	I	I	I	I	I	I	I
gene-LOC122460041	L	L	L	L	L	L	L	L
gene-PRDM6	I	I	I	I	I	I	I	I
gene-C1QA	UL	UL	UL	UL	I	UL	UL	UL
gene-LOC119858730	I	L	I	I	PI	I	I	I
gene-COMMD3	I	I	I	I	I	I	I	I
gene-F5	I	I	UL	I	UL	I	I	I
gene-CENPS	UL	UL	UL	I	UL	PI	UL	UL
gene-SLCO4A1	I	UL	I	I	PI	I	UL	I
gene-GDF5	I	I	I	PI	L	I	I	I
gene-MRS2	I	I	I	PI	I	PI	I	I
gene-ARHGAP15	I	I	I	I	I	I	I	I
gene-ADSS2	UL	I	I	UL	UL	UL	UL	I
gene-AATF	I	I	I	I	I	I	UL	I
gene-RUBCNL	I	I	I	I	I	I	I	I
gene-EMC1	I	I	I	I	I	I	I	I
gene-ATP5PD	I	I	I	I	I	I	I	I
gene-LOC119852080	I	I	I	I	I	I	I	I
gene-CHTF18	I	I	I	I	I	PI	UL	I
gene-LOC119842947	I	L	I	M	I	M	L	M
gene-SERBP1	I	I	I	PI	I	I	I	I
gene-SEPTIN4	I	I	PI	I	I	I	I	I
gene-LOC119853293	I	UL	I	I	I	I	I	I
gene-TMLHE	I	I	I	I	I	I	UL	I
gene-AHR	I	I	I	I	I	I	I	I
gene-LOC119849908	I	I	I	I	I	I	I	UL
gene-SMPD4	I	I	I	I	I	I	I	I
gene-THOC6	I	PM	PI	I	I	I	I	I
gene-RBM24	I	I	I	PI	I	I	I	I
gene-LOC119851888	I	I	I	I	I	I	I	I
gene-ADGRA1	PI	I	I	I	I	I	UL	I
gene-KLHL23	I	I	I	I	I	I	I	I
gene-CCND1	I	I	I	I	I	I	I	I
gene-RPAIN	I	I	I	I	I	I	I	I
gene-AFAP1L1	I	I	I	I	I	I	I	I
gene-MAP3K14	I	I	I	I	I	I	I	I
gene-LOC119855860	I	I	I	I	I	I	I	I
gene-PPARGC1B	I	I	I	I	I	I	I	I
gene-SLC25A26	I	I	I	I	I	I	I	I
gene-PTP4A2	I	I	I	I	I	I	I	I
gene-SLC8A1	I	I	I	I	PI	I	I	I
gene-LOC119860899	L	L	I	L	I	L	L	L
gene-JAM3	I	I	I	I	UL	I	I	I
gene-GFM2	I	I	I	I	I	I	I	I
gene-DVL3	I	I	I	I	I	I	UL	I
gene-DDX28	I	I	I	I	I	I	I	I
gene-SIGIRR	I	I	I	I	I	I	UL	I
gene-LOC119858359	I	I	I	I	I	I	I	I
gene-LOC122461216	UL	L	UL	UL	UL	L	UL	UL
gene-ETV7	I	I	I	I	I	I	I	I
gene-RAB1A	I	UL	I	I	I	I	I	I
gene-IDH3G	I	UL	PM	I	PI	I	I	I
gene-TADA3	PI	I	PI	I	PM	I	I	I
gene-LOC122458027	UL	L	I	L	I	L	L	L
gene-LOC119847227	I	I	I	I	I	I	I	I
gene-ARL6IP6	I	I	I	I	I	I	UL	I
gene-TNN	I	I	I	I	I	I	UL	UL
gene-AK7	I	I	I	I	I	I	I	I
gene-OTX2	I	I	I	I	I	I	I	I
gene-UPK2	I	I	I	I	I	I	I	I
gene-NDUFB11	PI	UL	UL	UL	UL	I	I	I
gene-RASL10B	I	I	I	I	I	I	I	I
gene-IL17RA	I	I	I	I	I	I	I	I
gene-R3HDML	I	I	I	I	I	I	UL	I
gene-BARX1	I	I	I	I	I	I	I	I
gene-CEP126	I	I	I	I	I	I	I	UL
gene-SCG2	I	I	I	I	I	I	I	I
gene-LOC119842843	PI	L	I	I	PI	I	L	I
gene-RSL24D1	I	I	I	I	I	I	I	I
gene-MKS1	I	I	I	I	I	I	I	I
gene-TRIM54	L	M	L	I	PM	I	L	I
gene-LOC119842315	M	L	L	L	L	L	L	L
gene-SAP18	I	I	I	I	I	I	I	I
gene-LOC119861453	I	I	I	I	I	I	I	I
gene-LMX1B	I	I	I	I	I	UL	I	PI
gene-CWF19L1	I	I	I	I	I	PI	I	I
gene-RBM20	I	I	I	I	I	I	UL	I
gene-LOC119862487	I	I	I	L	I	L	I	L
gene-MRPS2	I	PI	I	I	I	I	I	I
gene-RUVBL2	UL	I	UL	I	PI	I	I	I
gene-LOC119861360	I	I	I	I	I	I	I	I
gene-LOC119854323	UL	I	UL	I	UL	I	UL	UL
gene-PYROXD2	I	I	PM	UL	M	I	L	I
gene-LOC119849070	I	I	L	M	L	M	I	M
gene-PJVK	I	I	I	I	I	I	I	I
gene-SLC7A1	I	I	I	PI	I	I	I	I
gene-SEMA3B	I	PI	I	I	I	I	I	UL
gene-LOC119848815	PI	I	I	I	I	I	I	I
gene-LOC119853912	PI	PI	I	PI	I	PI	I	PI
gene-ART4	I	I	I	L	I	L	I	L
gene-LOC122456190	I	L	I	I	PI	I	I	I
gene-CCDC180	I	I	I	I	I	I	I	I
gene-SDHAF3	I	I	I	I	I	I	I	I
